Organization Name,Main Category,Subcategories,Membership Duration
Bhakti Yoga and Vegetarian Club,Registered Student Organizations,"International/Multicultural, Volunteer/Service, Special Interest, Health/Wellness",Lifetime
Biomedical Engineering Society,Registered Student Organizations,"Academic, STEM, Department, Computer/Technology",Lifetime
BIQN Media Club,Registered Student Organizations,Academic,Lifetime
Black Law Students Association at George Mason University,Registered Student Organizations,Special Interest,Lifetime
Black Male Student Initiative,Campus-Wide Organizations,Academic,Lifetime
Black Student Alliance,Registered Student Organizations,"International/Multicultural, Campus Spirit",Lifetime
Black Women's Initiative for Success and Empowerment,Registered Student Organizations,"Academic, International/Multicultural, Volunteer/Service, Special Interest",Lifetime
Black African-Heritage and Caribbean Coalition,Registered Student Organizations,International/Multicultural,Lifetime
Blacksmith and Cutler's club,Registered Student Organizations,"Special Interest, Performing/Visual Arts",Lifetime
Blossom Together Association,Registered Student Organizations,Volunteer/Service,Lifetime
Board Game Club at Mason,Registered Student Organizations,Special Interest,4 Years
Board Gaymers,Registered Student Organizations,Special Interest,Lifetime
Bolivian Cultural Association,Registered Student Organizations,"Academic, International/Multicultural, Special Interest",Lifetime
Book Buzz,Registered Student Organizations,Special Interest,Lifetime
Brazilian Student Association at Mason (BRASA),Registered Student Organizations,International/Multicultural,Lifetime
Breakfamous,Registered Student Organizations,"International/Multicultural, Special Interest, Performing/Visual Arts, Sports",Lifetime
Bridge at Mason,Registered Student Organizations,"Academic, Political/Activist",Lifetime
Build Tank,Registered Student Organizations,"STEM, Special Interest, Computer/Technology",Lifetime
Business Experience Organization at Mason Korea,Registered Student Organizations at Mason Korea,"Academic, Mason Korea Campus",1 Semester
Care Collective,Registered Student Organizations,"Volunteer/Service, Health/Wellness",Lifetime
Caribbean Student Association,Registered Student Organizations,"International/Multicultural, Special Interest",Lifetime
Carter School Undergraduate Program,Academic Departments,Department,Lifetime
Casual Gaming Club,Registered Student Organizations,"Special Interest, Computer/Technology",Lifetime
Catan Club,Registered Student Organizations,"Special Interest, Campus Spirit",Lifetime
Catholic Campus Ministry,Registered Student Organizations,Religious/Spiritual,Lifetime
Catriots at Mason Korea,Registered Student Organizations at Mason Korea,"Volunteer/Service, Mason Korea Campus",Lifetime
Center for Humanities Research,Mason Centers/Affiliates,Academic,Lifetime
Center for Innovation and Entrepreneurship,Mason Centers/Affiliates,Department,Lifetime
Center for the Advancement of Well-Being,University Life,Health/Wellness,Lifetime
Center for the Arts,Mason Centers/Affiliates,Performing/Visual Arts,Lifetime
Cereal Killers Club,Registered Student Organizations,Special Interest,Lifetime
Chemistry Club,Registered Student Organizations,"Academic, STEM, Volunteer/Service",Lifetime
Chess Club at George Mason University,Registered Student Organizations,"Special Interest, Computer/Technology",Lifetime
Chi Alpha Christian Fellowship,Registered Student Organizations,Religious/Spiritual,Lifetime
Chi Omega,Fraternity and Sorority Life,Panhellenic Council,Lifetime
Chi Phi Fraternity,Fraternity and Sorority Life,Interfraternity Council,Lifetime
Chi Psi Fraternity,Fraternity and Sorority Life,Interfraternity Council,Lifetime
Christian Pre-Health Society,Registered Student Organizations,"Religious/Spiritual, Health/Wellness",Lifetime
Christians on Campus,Registered Student Organizations,Religious/Spiritual,Lifetime
Christians United for Israel,Registered Student Organizations,"Religious/Spiritual, Political/Activist",Lifetime
Circle K International at George Mason University,Registered Student Organizations,Volunteer/Service,Lifetime
Classical Languages Club at George Mason University,Registered Student Organizations,"Academic, Special Interest",Lifetime
CLIE-Intercultural Engagement,University Life,Department,Lifetime
First-Gen+ Center,University Life,"Department, University Life",Lifetime
CLIE-Leadership,University Life,"International/Multicultural, Volunteer/Service, Political/Activist, Department",Lifetime
Club Baseball,Club Sports,Sports,Lifetime
Club Field Hockey,Club Sports,Sports,Lifetime
Club Football,Club Sports,Sports,Lifetime
Club Kendo,Club Sports,Sports,Lifetime
Club Spikeball at George Mason University,Registered Student Organizations,Sports,Lifetime
Coffee&Christ,Registered Student Organizations,Religious/Spiritual,Lifetime
College of Education and Human Development,Academic Departments,Academic,Lifetime
College of Humanities and Social Sciences - Undergraduate Academic Affairs,Academic Departments,"Academic, Department",Lifetime
College of Public Health - Office of Student Affairs,Academic Departments,Department,Lifetime
College of Science Office of Academic and Student Affairs,Academic Departments,"Academic, STEM, Department, Fairfax Campus, SciTech Campus",Lifetime
College Republicans at George Mason University,Registered Student Organizations,"Special Interest, Political/Activist",Ends at Graduation
Collegiate Black Men,Registered Student Organizations,"International/Multicultural, Special Interest",Lifetime
Collegiate DECA,Registered Student Organizations,Academic,Lifetime
Collegiate National Association for Music Education at George Mason University,Registered Student Organizations,"Academic, Special Interest",Lifetime
ColorStack at George Mason University,Registered Student Organizations,"Academic, STEM, Computer/Technology",Lifetime
COMM Ambassadors,Registered Student Organizations,"Academic, Media and Communications, Department, Campus Spirit",Lifetime
Community Adjudication Board,University Life,Department,Lifetime
Community Gathering Spaces,University Life,Health/Wellness,Lifetime
Competitive Cyber at Mason,Registered Student Organizations,"STEM, Computer/Technology",Lifetime
Computational Data Science Delegation at Mason Korea,Registered Student Organizations at Mason Korea,"Academic, Mason Korea Campus",Lifetime
Computer Science Club,Registered Student Organizations,Computer/Technology,Lifetime
Consulting Group,Registered Student Organizations,"Academic, Volunteer/Service, Special Interest",Lifetime
Contemporary Student Services,University Life,Department,Lifetime
Corazones Unidos Siempre/Chi Upsilon Sigma National Latin Sorority Incorporated,Fraternity and Sorority Life,United Greek Council,Lifetime
Cosplay Club at Mason,Registered Student Organizations,Special Interest,Ends at Graduation
Costello College of Business,Academic Departments,Academic,Lifetime
Couch Potato Club at Mason Korea,Registered Student Organizations at Mason Korea,"Special Interest, Mason Korea Campus",Lifetime
