Organization Name,Main Category,Subcategories,Membership Duration
Iranian Students Union,Registered Student Organizations,"International/Multicultural, Graduate Student Organization",Lifetime
Iraqi Student Association,Registered Student Organizations,International/Multicultural,Lifetime
Iron N' Honey Women's Fellowship,Registered Student Organizations,Religious/Spiritual,Lifetime
Japanese Language and Culture Club,Registered Student Organizations,Academic,Lifetime
Japanese Student Association,Registered Student Organizations,International/Multicultural,Lifetime
Jewish Voice for Peace at George Mason University,Registered Student Organizations,"International/Multicultural, Political/Activist",Lifetime
Jordanian Student Association,Registered Student Organizations,International/Multicultural,Lifetime
Kappa Alpha Order,Fraternity and Sorority Life,Interfraternity Council,Lifetime
Kappa Alpha Pi,Registered Student Organizations,"Academic, Volunteer/Service, Special Interest",Lifetime
Kappa Alpha Psi Fraternity Inc.,Fraternity and Sorority Life,National Pan-Hellenic Council,Lifetime
Kappa Delta Sorority,Fraternity and Sorority Life,Panhellenic Council,Lifetime
Kappa Phi Gamma Sorority Inc.,Fraternity and Sorority Life,United Greek Council,Lifetime
Kappa Phi Lambda Sorority Incorporated,Fraternity and Sorority Life,United Greek Council,Lifetime
Kappa Sigma Fraternity,Fraternity and Sorority Life,Interfraternity Council,Lifetime
Kashmiri Student Union,Registered Student Organizations,International/Multicultural,Lifetime
Ke Rang,Registered Student Organizations,"International/Multicultural, Performing/Visual Arts",Lifetime
KOKORO TAIKO,Registered Student Organizations,"International/Multicultural, Performing/Visual Arts",Lifetime
Korealities at Mason Korea,Registered Student Organizations at Mason Korea,"Special Interest, Mason Korea Campus",Lifetime
Korean International Student Association,Registered Student Organizations,International/Multicultural,Lifetime
La Unidad Latina/Lambda Upsilon Lambda Fraternity Inc.,Fraternity and Sorority Life,United Greek Council,Lifetime
Lab Managers of GMU,Campus-Wide Organizations,"Academic, STEM",Lifetime
Lambda Alpha Epsilon,Registered Student Organizations,Academic,Lifetime
Lambda Phi Epsilon,Fraternity and Sorority Life,United Greek Council,Lifetime
Lambda Sigma National Honor Society,Registered Student Organizations,"Academic, Volunteer/Service, Honor Society",Lifetime
Lambda Theta Alpha Latin Sorority Inc.,Fraternity and Sorority Life,United Greek Council,Lifetime
Lambda Theta Phi Latin Fraternity Inc.,Fraternity and Sorority Life,"United Greek Council, International/Multicultural, Volunteer/Service, Special Interest, Political/Activist",Lifetime
Latin American Political Society,Registered Student Organizations,"Academic, International/Multicultural, Political/Activist",Lifetime
Latin Student Association,Registered Student Organizations,International/Multicultural,Lifetime
Latinas Promoviendo Comunidad/Lambda Pi Chi Sorority Inc.,Fraternity and Sorority Life,United Greek Council,Lifetime
Law Without Barriers,Registered Student Organizations,"Academic, Volunteer/Service, Political/Activist",Lifetime
Learning Services,University Life,"Academic, Health/Wellness, Department",Lifetime
Lebanese Student Association,Registered Student Organizations,International/Multicultural,Lifetime
LGBTQ+ Faculty/Staff Alliance,University Life,Special Interest,Lifetime
LGBTQ+ Resources Center,University Life,Department,Lifetime
Libraries,University Libraries,"Academic, International/Multicultural, STEM, Performing/Visual Arts, Graduate Student Organization, Media and Communications, Department",Lifetime
Libyan Club,Registered Student Organizations,International/Multicultural,Lifetime
Lightsaber Arts Club at George Mason University,Registered Student Organizations,"Special Interest, Sports",Lifetime
Linguistics Society,Registered Student Organizations,Academic,Lifetime
Lot K Car Club,Registered Student Organizations,"Special Interest, Sports",Lifetime
Lucid Lab,Registered Student Organizations,"International/Multicultural, Religious/Spiritual, Health/Wellness",Lifetime
Mahjong Club,Registered Student Organizations,Special Interest,Lifetime
Management Information Systems and Operations Management Association,Registered Student Organizations,"Academic, Department, Computer/Technology",Lifetime
Mariposas Mentoring Program,Registered Student Organizations,"International/Multicultural, Special Interest",Lifetime
Mason Ambassadors,Mason Centers/Affiliates,Department,Lifetime
Mason Athletics,Mason Centers/Affiliates,"Sports, Campus Spirit",Lifetime
Mason BurnAlong,University Life,Health/Wellness,Lifetime
Mason Cable Network,Student Media,Media and Communications,Lifetime
Mason Dining,Mason Centers/Affiliates,"International/Multicultural, Health/Wellness, Campus Spirit",Lifetime
Mason Equestrian Club,Club Sports,Sports,Lifetime
Mason Exhibitions,Academic Departments,"Academic, Special Interest, Performing/Visual Arts, Department",Lifetime
Mason Innovation Exchange,Mason Centers/Affiliates,Department,Lifetime
Mason Jazz Studies,Academic Departments,"Academic, Performing/Visual Arts, Department",Lifetime
Mason Korea - Career Development Center,Mason Centers/Affiliates,Mason Korea Campus,Lifetime
Mason Korea - Academic Affairs,Academic Departments,"Academic, Mason Korea Campus",Ends at Graduation
Mason Korea - Faculty Affairs,Mason Centers/Affiliates,Mason Korea Campus,Lifetime
Mason Korea - International Student Services,Mason Centers/Affiliates,Mason Korea Campus,Lifetime
Mason Korea - Student Housing,University Life,Mason Korea Campus,Lifetime
Mason Korea - University Life,Mason Centers/Affiliates,"Department, Mason Korea Campus",Lifetime
Mason Korea Center for Well-Being,University Life,"Health/Wellness, Mason Korea Campus",Lifetime
Mason Korea Current Student Scholarship,University Life,Mason Korea Campus,Lifetime
Mason Korea HR,Mason Centers/Affiliates,Mason Korea Campus,Lifetime
Mason Korea International Relations & Strategic Initiatives,Campus-Wide Organizations,"Academic, Department, Mason Korea Campus",Lifetime
Mason Korea Student Engagement - Fairfax,University Life,Department,Lifetime
Mason Korea Student Government,University Life,"Student Government, Mason Korea Campus",Lifetime
Mason Korea Study Abroad,Academic Departments,"Academic, Mason Korea Campus",Lifetime
Mason Powerlifting,Club Sports,"Health/Wellness, Sports",1 Year
Mason Recreation,University Life,"Health/Wellness, Sports, Department",Lifetime
Mason Recreation - Club Sports,University Life,Department,Lifetime
Mason Science Community,Campus-Wide Organizations,,Lifetime
Mason Swim Club,Club Sports,Sports,Lifetime
Mason Taekwondo,Club Sports,Sports,Lifetime
Mason Votes,Student Media,"Political/Activist, Media and Communications",Lifetime
MBA Student Association,Registered Student Organizations,"Academic, Graduate Student Organization",Lifetime
Mechanical Engineering Graduate Association,Registered Student Organizations,Graduate Student Organization,Lifetime
Media Production Program at George Mason University,Campus-Wide Organizations,Academic,Lifetime
Medical Innovation and Design Team,Registered Student Organizations,"Academic, STEM, Health/Wellness, Computer/Technology",Lifetime
Medicine Ethics & Law Dialogue Society,Registered Student Organizations,"STEM, Special Interest",Lifetime
MEDLIFE at George Mason University,Registered Student Organizations,"Academic, Volunteer/Service",Lifetime
MedNet; Premeds Unite,Registered Student Organizations,"Academic, STEM, Special Interest, Health/Wellness",Lifetime
Medusa Organization,Registered Student Organizations,Health/Wellness,Lifetime
Men's Club Ultimate,Club Sports,"Health/Wellness, Sports",Lifetime
Men's Club Volleyball,Club Sports,Sports,Lifetime
Men's Ice Hockey (M1),Club Sports,Sports,Ends at Graduation
Men's Ice Hockey (M2),Club Sports,Sports,Ends at Graduation
MIA,Registered Student Organizations,"Special Interest, Performing/Visual Arts",Lifetime
Microsoft Club at George Mason University,Registered Student Organizations,"Academic, Computer/Technology",Lifetime
Middle Eastern Pre - Health Society,Registered Student Organizations,"Academic, Volunteer/Service, Health/Wellness",Lifetime
Military Affiliated & Veterans Students,Registered Student Organizations,"Volunteer/Service, Special Interest, Campus Spirit",Lifetime
Minorities in Sports Next at George Mason University,Registered Student Organizations,"Academic, Sports",Lifetime
Mock Trial at George Mason University,Registered Student Organizations,"Academic, Special Interest, Political/Activist",Lifetime
Model United Nations,Registered Student Organizations,"Academic, Special Interest",Lifetime
Model United Nations at Mason Korea,Registered Student Organizations at Mason Korea,"Academic, Mason Korea Campus",Lifetime
Model World Health Organization,Registered Student Organizations,Academic,Lifetime
Mongolian Student Union,Registered Student Organizations,International/Multicultural,Lifetime
Moroccan Student Union,Registered Student Organizations,"International/Multicultural, Volunteer/Service",Lifetime
Movie Club at George Mason University,Registered Student Organizations,"Special Interest, Media and Communications, Campus Spirit",Lifetime
Movies and Machine Learning,Registered Student Organizations,"Special Interest, Computer/Technology",Lifetime
MSN,Registered Student Organizations,"Special Interest, Performing/Visual Arts",Lifetime
Mu Epsilon Delta,Registered Student Organizations,"Academic, STEM, Volunteer/Service",Lifetime
Multicultural Exchange Club at Mason Korea,Registered Student Organizations at Mason Korea,"Special Interest, Mason Korea Campus",Lifetime
Multicultural Student Association of Pre-health Students,Registered Student Organizations,"Academic, Health/Wellness",Lifetime
Music Studies Club,Registered Student Organizations,"Academic, Performing/Visual Arts",Lifetime
Muslim Learning and Development,Registered Student Organizations,Religious/Spiritual,Lifetime
Muslim Students' Association,Registered Student Organizations,Religious/Spiritual,Lifetime
Muslim Tech Collaborative at George Mason University,Registered Student Organizations,"STEM, Computer/Technology",Lifetime
Muslim Women in Medicine at George Mason University,Registered Student Organizations,"Academic, International/Multicultural, Religious/Spiritual, STEM, Volunteer/Service, Health/Wellness",Lifetime
My Training International,Registered Student Organizations,"International/Multicultural, Religious/Spiritual",Lifetime
Mycology Club,Registered Student Organizations,"Academic, Special Interest",Lifetime
n-Lingual,Registered Student Organizations,"Academic, International/Multicultural, Special Interest",Lifetime
n-Lingual at Mason Korea,Registered Student Organizations at Mason Korea,"Special Interest, Mason Korea Campus, University Life",Lifetime
NABA Inc,Registered Student Organizations,Academic,Lifetime
National Art Education Association Student Chapter,Registered Student Organizations,"Academic, Performing/Visual Arts, Graduate Student Organization",Lifetime
National Council of Negro Women at George Mason University,Registered Student Organizations,"Volunteer/Service, Political/Activist",Lifetime
National Pan-Hellenic Council,Fraternity and Sorority Life,National Pan-Hellenic Council,Lifetime
National Society of Black Engineers,Registered Student Organizations,"Academic, STEM, Computer/Technology",Lifetime
National Society of Collegiate Scholars at George Mason University,Registered Student Organizations,"Academic, Honor Society",Lifetime
National Society of Leadership & Success,Registered Student Organizations,"Academic, Volunteer/Service, Special Interest, Honor Society",Lifetime
Native American and Indigenous Alliance,Registered Student Organizations,"International/Multicultural, Special Interest",Lifetime
NEMESIS at Mason Korea,Registered Student Organizations at Mason Korea,"Sports, Mason Korea Campus",Lifetime
Nepalese Student Association,Registered Student Organizations,International/Multicultural,Lifetime
Network of Vietnamese International Students,Registered Student Organizations,International/Multicultural,Lifetime
Neuroscience Club,Registered Student Organizations,"Academic, STEM",Lifetime
Neuroscience Honor Society (Nu Rho Psi),Registered Student Organizations,"Academic, STEM, Volunteer/Service, Honor Society",Lifetime
New Student and Family Programs,University Life,"Department, University Life",Lifetime
Next Generation Global Health Security Network Chapter at George Mason University,Registered Student Organizations,"Academic, Graduate Student Organization",Lifetime
NextGen at Mason,Registered Student Organizations,"Special Interest, Political/Activist",Lifetime
Nexus Systems,Registered Student Organizations,"Academic, STEM, Computer/Technology",Lifetime
Nigerian Students Association,Registered Student Organizations,International/Multicultural,Lifetime
No Lost Generation at George Mason,Registered Student Organizations,"International/Multicultural, Volunteer/Service",Lifetime
Noteworthy Treble A Cappella,Registered Student Organizations,"Special Interest, Performing/Visual Arts",Lifetime
NOVA at Mason Korea,Registered Student Organizations at Mason Korea,"Sports, Mason Korea Campus",Lifetime
Nubian Student Association,Registered Student Organizations,"Academic, STEM, Volunteer/Service",Lifetime
Nutrition and Dietetics,Registered Student Organizations,"Academic, Health/Wellness, Department",Lifetime
Nutrition in Medicine Club at George Mason University,Registered Student Organizations,"Academic, STEM, Volunteer/Service, Health/Wellness",Lifetime
ODKM Learning Alliance,Registered Student Organizations,"Academic, Graduate Student Organization",Lifetime
Office of Alumni Relations,Academic Departments,Fairfax Campus,Lifetime
Office of Fellowships,Mason Centers/Affiliates,"Graduate Student Organization, Department",Lifetime
Office of Military Services,Academic Departments,"Special Interest, Department",Lifetime
Office of University Events and Operations,Mason Centers/Affiliates,Department,Lifetime
Office of University Ombudsperson,Academic Departments,Department,Lifetime
Olympic Weightlifting Club,Club Sports,Sports,Lifetime
Omega Psi Phi,Fraternity and Sorority Life,National Pan-Hellenic Council,Lifetime
Order of Omega,Fraternity and Sorority Life,Honor Society,Lifetime
Orthodox Christian Campus Ministries (OCCM),Registered Student Organizations,Religious/Spiritual,Lifetime
OSCAR Federal Work Study,Academic Departments,"Academic, Department",Lifetime
Out in Science Technology Engineering and Math at George Mason University,Registered Student Organizations,"Academic, STEM, Special Interest, Computer/Technology",Lifetime
Outdoor Adventures and The EDGE,University Life,"Department, University Life",Lifetime
Outdoors at George Mason University,Registered Student Organizations,"Volunteer/Service, Special Interest, Health/Wellness, Sports, Campus Spirit",Lifetime
Outreach Student Success and Engagement,Mason Centers/Affiliates,"STEM, Department",Lifetime
Pakistani Student Association,Registered Student Organizations,International/Multicultural,Lifetime
Panhellenic Council,Fraternity and Sorority Life,Panhellenic Council,Lifetime
Patriot Activities Council,Campus-Wide Organizations,Campus Spirit,Lifetime
Patriot Comics Group,Registered Student Organizations,Special Interest,Lifetime
Patriot Experience,University Life,University Life,Lifetime
Patriot Fellows,University Life,"Academic, Special Interest, Department",Lifetime
Patriot Hiking Society,Registered Student Organizations,"Special Interest, Health/Wellness, Sports, Campus Spirit",Lifetime
Patriot Motorsports,Registered Student Organizations,STEM,Lifetime
Patriot PIRG,Registered Student Organizations,"Volunteer/Service, Special Interest, Political/Activist, Campus Spirit",Lifetime
Patriot Pitches,Registered Student Organizations,Performing/Visual Arts,Lifetime
Patriot Riders Motorcycle Club,Registered Student Organizations,"Volunteer/Service, Special Interest, Health/Wellness, Sports, Campus Spirit",Lifetime
PatriotHacks,Registered Student Organizations,"Academic, Computer/Technology",Lifetime
Patriots for Non-Profits,Registered Student Organizations,"Volunteer/Service, Special Interest",Lifetime
Patriots for Public Health,Registered Student Organizations,"Academic, Volunteer/Service, Department",Lifetime
Patriots Photography Society,Registered Student Organizations,"Special Interest, Performing/Visual Arts, Media and Communications",Lifetime
PENTECOST STUDENTS AND ASSOCIATES CAMPUS MINISTRY,Registered Student Organizations,Religious/Spiritual,Lifetime
Persian Club,Registered Student Organizations,"Academic, International/Multicultural, Campus Spirit",Lifetime
Persona at Mason Korea,Registered Student Organizations at Mason Korea,"Performing/Visual Arts, Mason Korea Campus",Lifetime
Personal Finance Club,Registered Student Organizations,Academic,Lifetime
PhD in Education Student Organization,Registered Student Organizations,"Academic, Graduate Student Organization",Lifetime
Phi Alpha Delta,Registered Student Organizations,Academic,Lifetime
Phi Beta Sigma Fraternity Incorporated,Fraternity and Sorority Life,National Pan-Hellenic Council,Lifetime
Phi Delta Theta,Fraternity and Sorority Life,Interfraternity Council,Lifetime
Phi Iota Alpha Fraternity Inc.,Fraternity and Sorority Life,United Greek Council,Lifetime
Phi Sigma Kappa,Fraternity and Sorority Life,"Academic, Interfraternity Council, Department, Campus Spirit",Lifetime
Philosophy Club,Registered Student Organizations,"Academic, Religious/Spiritual, Political/Activist, Department",Lifetime
Phoebe,Student Media,"Graduate Student Organization, Media and Communications",Lifetime
Physical Education Teachers Education Society,Registered Student Organizations,"Academic, Volunteer/Service, Health/Wellness, Sports, Department",Lifetime
Pi Delta Psi Fraternity Incorporated,Fraternity and Sorority Life,United Greek Council,Lifetime
Pi Gamma Mu Social Sciences Honor Society-Virginia Mu Chapter,Academic Departments,"Academic, Honor Society",Lifetime
Pi Kappa Alpha,Fraternity and Sorority Life,"Interfraternity Council, Volunteer/Service, Campus Spirit",Lifetime
Pickleball Club,Club Sports,Sports,Lifetime
Plan Your Year,University Life,Special Interest,Lifetime
Podcast Club at George Mason University,Registered Student Organizations,Special Interest,Lifetime
Poetriots at Mason Korea,Registered Student Organizations at Mason Korea,"Special Interest, Mason Korea Campus",Lifetime
Pokemon Club at George Mason University,Registered Student Organizations,Special Interest,Lifetime
Police Research Group,Registered Student Organizations,Academic,Lifetime
Pre-Dental Society,Registered Student Organizations,"Academic, Special Interest",Lifetime
Pre-Pharmacy Honor Society,Registered Student Organizations,"Academic, STEM, Honor Society",Lifetime
Pre-Physical & Occupational Therapy Society,Registered Student Organizations,"Academic, STEM, Special Interest",Lifetime
Pre-Physician Assistant Society,Registered Student Organizations,"Academic, Volunteer/Service",Lifetime
Pre-Veterinary Club,Registered Student Organizations,"Academic, STEM, Volunteer/Service, Special Interest",Lifetime
Premedical Society,Registered Student Organizations,"Academic, STEM, Volunteer/Service",Lifetime
Pride Alliance,Registered Student Organizations,"Volunteer/Service, Special Interest, Political/Activist, Department",Lifetime
Prison Labor Justice Collective,Registered Student Organizations,"Academic, Volunteer/Service, Special Interest, Political/Activist, Graduate Student Organization",Lifetime
Program in Russian and Eurasian Studies,Academic Departments,"Academic, International/Multicultural, Department",Lifetime
Project: Hearts in Action,Registered Student Organizations,Volunteer/Service,Lifetime
Psi Chi: The International Honor Society in Psychology,Registered Student Organizations,"Academic, Honor Society",Lifetime
Psychology Club at George Mason University,Registered Student Organizations,"Academic, Special Interest, Health/Wellness",1 Year
Public Health and Finance Organization,Registered Student Organizations,"Academic, STEM, Volunteer/Service, Health/Wellness",Lifetime
Public Relations Student Society of America,Campus-Wide Organizations,"Academic, Media and Communications, Department",Lifetime
Public Sociology Association,Registered Student Organizations,Academic,Lifetime
Punjabi's at Mason,Registered Student Organizations,International/Multicultural,Lifetime
Quantitative Finance Club,Registered Student Organizations,Academic,Lifetime
Queer Media Club,Registered Student Organizations,"Special Interest, Media and Communications",Lifetime
Quiz Bowl at George Mason University,Registered Student Organizations,"Academic, Special Interest",Lifetime
Radiology Club,Registered Student Organizations,"STEM, Volunteer/Service, Special Interest",Lifetime
Reign Model Troupe,Registered Student Organizations,"Special Interest, Performing/Visual Arts",Lifetime
Remote Area Medical,Registered Student Organizations,Volunteer/Service,Lifetime
Residence Hall Association,Housing and Residence Life,,Lifetime
Residential Adjudication Board,Campus-Wide Organizations,Department,Lifetime
Rhetoric Society of America at George Mason University,Registered Student Organizations,"Academic, Graduate Student Organization",Lifetime
Rhythm Game Club,Registered Student Organizations,"STEM, Special Interest",Lifetime
Rising Healthcare Leaders at Mason,Registered Student Organizations,Graduate Student Organization,Lifetime
Risk Safety and Resilience,Academic Departments,"Health/Wellness, Department",Lifetime
RobotX at George Mason University,Registered Student Organizations,"STEM, Computer/Technology",Lifetime
RSO Support Team,Campus-Wide Organizations,Campus Spirit,Lifetime
RUF Home Abroad,Registered Student Organizations,"International/Multicultural, Religious/Spiritual",Lifetime
Running Club,Club Sports,"Health/Wellness, Sports",Lifetime
Russian Speaking Community,Registered Student Organizations,International/Multicultural,Lifetime
Saudi Student Association,Registered Student Organizations,International/Multicultural,Ends at Graduation
Schar School of Policy and Government,Academic Departments,Academic,Lifetime
Schar School Policy Review,Registered Student Organizations,"Academic, Graduate Student Organization",Lifetime
Scholars Promoting Access Representation and Knowledge,Campus-Wide Organizations,"Academic, International/Multicultural, Graduate Student Organization, Department",Lifetime
School of Art,Academic Departments,Academic,Lifetime
School of Integrative Studies,Academic Departments,"Academic, Department",Lifetime
School of Kinesiology,Academic Departments,,Lifetime
School of Sport Recreation and Tourism Management,Academic Departments,Academic,Lifetime
School of Theater,Academic Departments,"Academic, Performing/Visual Arts, Department, Fairfax Campus",Lifetime
Science Policy Network at Mason,Registered Student Organizations,"Academic, STEM, Volunteer/Service, Political/Activist, Graduate Student Organization",Lifetime
SGI Buddhist Student Association,Registered Student Organizations,"Academic, International/Multicultural, Religious/Spiritual, Volunteer/Service, Special Interest, Health/Wellness, Graduate Student Organization, Campus Spirit",Lifetime
shopMason,Mason Centers/Affiliates,Department,Lifetime
Sigma Chi,Fraternity and Sorority Life,Interfraternity Council,Lifetime
Sigma Gamma Rho Sorority Incorporated,Fraternity and Sorority Life,National Pan-Hellenic Council,Lifetime
Sigma Psi Zeta Sorority Inc.,Fraternity and Sorority Life,"United Greek Council, International/Multicultural",Lifetime
Sigma Tau Delta: International English Honor Society,Registered Student Organizations,"Academic, Honor Society",Lifetime
Sikh Student Association,Registered Student Organizations,Religious/Spiritual,Lifetime
Silk Road Nations,Registered Student Organizations,International/Multicultural,Lifetime
Skate Club,Registered Student Organizations,"International/Multicultural, Special Interest, Performing/Visual Arts, Sports, Campus Spirit",Lifetime
SKETCH at Mason Korea,Registered Student Organizations at Mason Korea,Mason Korea Campus,Lifetime
Smithsonian Graduate Student Scholars at George Mason University,Registered Student Organizations,Graduate Student Organization,Lifetime
So to Speak,Student Media,,Lifetime
Social Deduction Games,Registered Student Organizations,Special Interest,Lifetime
Society for the Advancement of Chicanos/Hispanics and Native Americans in Science,Registered Student Organizations,"Academic, STEM, Volunteer/Service",Ends at Graduation
Society for the Promotion of Equal Chances to Represent Under-served Minorities,Registered Student Organizations,"Academic, STEM",Lifetime
Society for the Study of Religion,Registered Student Organizations,Academic,Lifetime
Society of American Military Engineers Student Chapter at George Mason University,Registered Student Organizations,"Academic, STEM",Lifetime
Society of Hispanic Professional Engineers,Registered Student Organizations,"Academic, International/Multicultural, STEM, Special Interest, Computer/Technology",Lifetime
Society of Professional Journalists (SPJ),Student Media,Media and Communications,Lifetime
Sojourn,Registered Student Organizations,Religious/Spiritual,Lifetime
South Indian Student Association,Registered Student Organizations,International/Multicultural,Lifetime
South West Asian and North African Alliance,Registered Student Organizations,"International/Multicultural, Political/Activist",Lifetime
Special Education and Assistive Technology Programs,Academic Departments,Academic,Lifetime
Sponsored International Students at Mason,Campus-Wide Organizations,"Academic, International/Multicultural, Special Interest, Department",Lifetime
Sri Lankan Student Association,Registered Student Organizations,International/Multicultural,Lifetime
Stock Talk,Registered Student Organizations,"Academic, Special Interest",Lifetime
Student Bible Study,Registered Student Organizations,Religious/Spiritual,Lifetime
Student Centers,Mason Centers/Affiliates,Department,Lifetime
Student Chapter of The Wildlife Society at George Mason University,Registered Student Organizations,Special Interest,Lifetime
Student Engagement Innovation Fund,University Life,"Volunteer/Service, Campus Spirit",Lifetime
Student Funding Board (SFB),Campus-Wide Organizations,Student Government,Lifetime
Student Government,Campus-Wide Organizations,Student Government,Lifetime
Student Health Advisory Board,University Life,Health/Wellness,Lifetime
Student Health Services,University Life,"Department, University Life",Lifetime
Student Involvement,University Life,,Lifetime
Student Media,Student Media,"Media and Communications, Department",Lifetime
Student Nurses' Association,Registered Student Organizations,"Academic, STEM, Volunteer/Service, Health/Wellness",Lifetime
Student Organ Donation Advocates at George Mason University,Registered Student Organizations,"STEM, Volunteer/Service, Special Interest, Health/Wellness",Lifetime
Student Support and Advocacy Center (SSAC),University Life,Department,Lifetime
Students for Justice in Palestine,Registered Student Organizations,Political/Activist,Lifetime
Students in Neuroscience,Registered Student Organizations,"Academic, STEM",Lifetime
Sudanese Student Association,Registered Student Organizations,International/Multicultural,Lifetime
Sunrise Club at George Mason University,Registered Student Organizations,"Volunteer/Service, Special Interest, Health/Wellness",Lifetime
Swifties at Mason,Registered Student Organizations,Special Interest,Lifetime
SYNC at Mason Korea,Registered Student Organizations at Mason Korea,"Special Interest, Performing/Visual Arts, Mason Korea Campus",Lifetime
Table Tennis Club,Club Sports,"Special Interest, Sports",Lifetime
Tabletop Role Playing Game Club,Registered Student Organizations,Special Interest,Lifetime
Take 5! Film at Mason Korea,Registered Student Organizations at Mason Korea,"Special Interest, Performing/Visual Arts, Media and Communications, Mason Korea Campus",Lifetime
Tangle Club,Registered Student Organizations,"Academic, Political/Activist, Media and Communications",Lifetime
Tau Kappa Epsilon,Fraternity and Sorority Life,Interfraternity Council,Lifetime
Tech for Good,Registered Student Organizations,"Academic, STEM, Volunteer/Service, Special Interest, Computer/Technology",Lifetime
Technology and Society Club,Registered Student Organizations,"Academic, STEM, Special Interest, Graduate Student Organization, Computer/Technology",Lifetime
TEDxGeorgeMasonU,Registered Student Organizations,"Academic, Media and Communications, Campus Spirit",Lifetime
Thaqafat Al-Tatreez,Registered Student Organizations,"International/Multicultural, Special Interest",Lifetime
The Aguilas Mentoring Program,Registered Student Organizations,"Academic, International/Multicultural, Volunteer/Service, Special Interest",Lifetime
The Anthropology Club at George Mason,Registered Student Organizations,Academic,Lifetime
The Black Mambas,Registered Student Organizations,"International/Multicultural, Health/Wellness, Performing/Visual Arts, Campus Spirit",Lifetime
The Campers Korean Campus Ministry,Registered Student Organizations,Religious/Spiritual,Lifetime
The Debate Society,Registered Student Organizations at Mason Korea,"Special Interest, Mason Korea Campus",Lifetime
The Economics Society,Registered Student Organizations,Academic,Lifetime
The Empirical Network,Registered Student Organizations,Volunteer/Service,Lifetime
The Forge,Student Media,Media and Communications,Lifetime
The George Mason Review,Student Media,Academic,Lifetime
The GhostLight Players,Registered Student Organizations,Performing/Visual Arts,Lifetime
The Graduate Division,Campus-Wide Organizations,"Academic, Special Interest, Graduate Student Organization, Department",Lifetime
The Guitar Club,Registered Student Organizations,Performing/Visual Arts,Lifetime
The Ilm Initiative at George Mason University,Registered Student Organizations,"International/Multicultural, Volunteer/Service",Lifetime
The Knitting Guild At George Mason University,Registered Student Organizations,"Special Interest, Health/Wellness, Performing/Visual Arts, Campus Spirit",Lifetime
The Latter-Day Saint Student Association,Registered Student Organizations,Religious/Spiritual,Lifetime
The LeetCode Club,Registered Student Organizations,"Academic, Computer/Technology",Lifetime
The Makers Circle,Registered Student Organizations,"Special Interest, Health/Wellness, Performing/Visual Arts",Lifetime
The Office of Access Compliance and Community,Mason Centers/Affiliates,Department,Lifetime
The Office of Community Engagement and Civic Learning,Mason Centers/Affiliates,"Academic, Volunteer/Service, Department",Lifetime
The Office of Student Scholarship Creative Activities and Research (OSCAR),Academic Departments,"Academic, Department",Lifetime
The Patriot Pre-Law Group,Registered Student Organizations,Academic,Lifetime
The Redeemed Christian Fellowship at George Mason University,Registered Student Organizations,"Academic, Religious/Spiritual",Lifetime
The Ridge,Housing and Residence Life,Special Interest,Lifetime
The Society for Collegiate Leadership & Achievement,Campus-Wide Organizations,"Academic, Honor Society",Ends at Graduation
The Society of Women Engineers at George Mason University,Registered Student Organizations,"STEM, Special Interest, Campus Spirit, Computer/Technology",Lifetime
The Sycamore Institute,Registered Student Organizations,"Academic, Special Interest",Lifetime
The Voice of GMUK,Registered Student Organizations at Mason Korea,Mason Korea Campus,Lifetime
The Writing Center,Academic Departments,"Academic, Department",Lifetime
This Just In: Dance Crew,Registered Student Organizations,"International/Multicultural, Special Interest, Health/Wellness, Performing/Visual Arts",Lifetime
Touhou Club,Registered Student Organizations,Special Interest,Lifetime
Tourism Events and Hospitality Society,Registered Student Organizations,Academic,1 Year
Trading Card Game Club,Registered Student Organizations,Special Interest,Lifetime
Tree of Life Center,Registered Student Organizations,"International/Multicultural, Religious/Spiritual, Performing/Visual Arts",Lifetime
Trevor Montano Student Managed Investment Fund at George Mason University,Registered Student Organizations,"Academic, Special Interest, Department",Lifetime
Tu Bhi Nachle,Registered Student Organizations,"International/Multicultural, Volunteer/Service, Performing/Visual Arts",Lifetime
Turkish Culture Club,Registered Student Organizations,International/Multicultural,Lifetime
Turkish Student Association at Mason,Registered Student Organizations,International/Multicultural,Lifetime
Turning Point USA,Registered Student Organizations,Political/Activist,Lifetime
un-Cultured Magazine,Registered Student Organizations,"Academic, Graduate Student Organization, Media and Communications",Lifetime
Undocu@Mason,Registered Student Organizations,"International/Multicultural, Volunteer/Service, Special Interest, Political/Activist",Lifetime
UNICEF at George Mason,Registered Student Organizations,"International/Multicultural, Volunteer/Service, Political/Activist",Lifetime
Unified Fits at George Mason University,Registered Student Organizations,"Volunteer/Service, Special Interest, Media and Communications, Campus Spirit",Lifetime
United Greek Council,Fraternity and Sorority Life,United Greek Council,Lifetime
United Mission for Relief and Development,Registered Student Organizations,Volunteer/Service,Lifetime
United2Heal,Registered Student Organizations,"International/Multicultural, STEM, Volunteer/Service, Political/Activist, Health/Wellness",Lifetime
University Bible Fellowship,Registered Student Organizations,Religious/Spiritual,Lifetime
University Career Services,University Life,Department,Lifetime
University Life Mason Square,University Life,Department,Lifetime
University Life SciTech,University Life,"Department, University Life",Lifetime
University Sustainability,Mason Centers/Affiliates,Department,Lifetime
Urbanknowlogy 101,Registered Student Organizations,"Special Interest, Performing/Visual Arts, Campus Spirit",Lifetime
